underlying,trading_date,S_t,K,expiration,T_years,dte,option_type,option_price,r,moneyness,regime,style
SPY,2008-01-04,140.960431,129.0,2008-02-16,0.11772758384668036,43,call,14.02,0.032,0.9151504367917264,crisis,American
SPY,2008-01-11,139.969153,128.0,2008-01-19,0.02190280629705681,8,call,12.21,0.030899999999999997,0.9144872084779994,crisis,American
SPY,2008-01-11,139.969153,129.0,2008-01-19,0.02190280629705681,8,call,11.21,0.030899999999999997,0.9216316397942338,crisis,American
SPY,2008-01-18,132.426977,120.0,2008-02-16,0.07939767282683094,29,call,13.29,0.0286,0.9061597773994343,crisis,American
SPY,2008-01-18,132.426977,121.0,2008-02-16,0.07939767282683094,29,call,12.38,0.0286,0.913711108877763,crisis,American
SPY,2008-01-18,132.426977,122.0,2008-02-16,0.07939767282683094,29,call,11.51,0.0286,0.9212624403560915,crisis,American
SPY,2008-01-18,132.426977,123.0,2008-02-16,0.07939767282683094,29,call,10.68,0.0286,0.9288137718344202,crisis,American
SPY,2008-01-18,132.426977,124.0,2008-02-16,0.07939767282683094,29,call,9.83,0.0286,0.9363651033127488,crisis,American
SPY,2008-01-18,132.426977,125.0,2008-02-16,0.07939767282683094,29,call,9.03,0.0286,0.9439164347910773,crisis,American
SPY,2008-01-18,132.426977,126.0,2008-02-16,0.07939767282683094,29,call,8.25,0.0286,0.951467766269406,crisis,American
SPY,2008-01-18,132.426977,127.0,2008-02-16,0.07939767282683094,29,call,7.5,0.0286,0.9590190977477346,crisis,American
SPY,2008-01-18,132.426977,128.0,2008-02-16,0.07939767282683094,29,call,6.78,0.0286,0.9665704292260633,crisis,American
SPY,2008-01-18,132.426977,129.0,2008-02-16,0.07939767282683094,29,call,6.09,0.0286,0.9741217607043918,crisis,American
SPY,2008-01-28,135.314898,122.0,2008-02-16,0.05201916495550993,19,call,13.96,0.023399999999999997,0.9016006500629369,crisis,American
SPY,2008-01-28,135.314898,123.0,2008-02-16,0.05201916495550993,19,call,13.05,0.023399999999999997,0.9089908193257479,crisis,American
